profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,520,0.582
availability-wind2030,2030,1,521,0.616
availability-wind2030,2030,1,522,0.654
availability-wind2030,2030,1,523,0.675
availability-wind2030,2030,1,524,0.678
availability-wind2030,2030,1,525,0.677
availability-wind2030,2030,1,526,0.655
availability-wind2030,2030,1,527,0.632
availability-wind2030,2030,1,528,0.633
availability-wind2030,2030,1,529,0.631
availability-wind2030,2030,1,530,0.651
availability-wind2030,2030,1,531,0.649
availability-wind2030,2030,1,532,0.620
availability-wind2030,2030,1,533,0.595
availability-wind2030,2030,1,534,0.561
availability-wind2030,2030,1,535,0.495
availability-wind2030,2030,1,536,0.425
availability-wind2030,2030,1,537,0.386
availability-wind2030,2030,1,538,0.358
availability-wind2030,2030,1,539,0.302
availability-wind2030,2030,1,540,0.272
availability-wind2030,2030,1,541,0.252
availability-wind2030,2030,1,542,0.272
availability-wind2030,2030,1,543,0.274
availability-wind2030,2030,1,544,0.259
availability-wind2030,2030,1,545,0.251
availability-wind2030,2030,1,546,0.256
availability-wind2030,2030,1,547,0.252
availability-wind2030,2030,1,548,0.261
availability-wind2030,2030,1,549,0.284
availability-wind2030,2030,1,550,0.289
availability-wind2030,2030,1,551,0.323
availability-wind2030,2030,1,552,0.343
availability-wind2030,2030,1,553,0.373
availability-wind2030,2030,1,554,0.386
availability-wind2030,2030,1,555,0.410
availability-wind2030,2030,1,556,0.413
availability-wind2030,2030,1,557,0.389
availability-wind2030,2030,1,558,0.382
availability-wind2030,2030,1,559,0.393
availability-wind2030,2030,1,560,0.432
availability-wind2030,2030,1,561,0.456
availability-wind2030,2030,1,562,0.469
availability-wind2030,2030,1,563,0.499
availability-wind2030,2030,1,564,0.541
availability-wind2030,2030,1,565,0.519
availability-wind2030,2030,1,566,0.470
availability-wind2030,2030,1,567,0.428
availability-wind2030,2030,1,568,0.406
availability-wind2030,2030,1,569,0.401
availability-wind2030,2030,1,570,0.386
availability-wind2030,2030,1,571,0.344
availability-wind2030,2030,1,572,0.313
availability-wind2030,2030,1,573,0.316
availability-wind2030,2030,1,574,0.317
availability-wind2030,2030,1,575,0.339
availability-wind2030,2030,1,576,0.327
availability-wind2030,2030,1,577,0.304
availability-wind2030,2030,1,578,0.287
availability-wind2030,2030,1,579,0.284
availability-wind2030,2030,1,580,0.287
availability-wind2030,2030,1,581,0.312
availability-wind2030,2030,1,582,0.321
availability-wind2030,2030,1,583,0.324
availability-wind2030,2030,1,584,0.312
availability-wind2030,2030,1,585,0.295
availability-wind2030,2030,1,586,0.298
availability-wind2030,2030,1,587,0.319
availability-wind2030,2030,1,588,0.310
availability-wind2030,2030,1,589,0.306
availability-wind2030,2030,1,590,0.305
availability-wind2030,2030,1,591,0.313
availability-wind2030,2030,1,592,0.337
availability-wind2030,2030,1,593,0.378
availability-wind2030,2030,1,594,0.437
availability-wind2030,2030,1,595,0.517
availability-wind2030,2030,1,596,0.568
availability-wind2030,2030,1,597,0.590
availability-wind2030,2030,1,598,0.598
availability-wind2030,2030,1,599,0.615
availability-wind2030,2030,1,600,0.611
availability-wind2030,2030,1,601,0.577
availability-wind2030,2030,1,602,0.545
availability-wind2030,2030,1,603,0.512
availability-wind2030,2030,1,604,0.495
availability-wind2030,2030,1,605,0.473
availability-wind2030,2030,1,606,0.444
availability-wind2030,2030,1,607,0.418
availability-wind2030,2030,1,608,0.408
availability-wind2030,2030,1,609,0.410
availability-wind2030,2030,1,610,0.411
availability-wind2030,2030,1,611,0.391
availability-wind2030,2030,1,612,0.373
availability-wind2030,2030,1,613,0.357
availability-wind2030,2030,1,614,0.336
availability-wind2030,2030,1,615,0.305
availability-wind2030,2030,1,616,0.278
availability-wind2030,2030,1,617,0.242
availability-wind2030,2030,1,618,0.184
availability-wind2030,2030,1,619,0.194
availability-wind2030,2030,1,620,0.238
availability-wind2030,2030,1,621,0.259
availability-wind2030,2030,1,622,0.276
availability-wind2030,2030,1,623,0.293
availability-wind2030,2030,1,624,0.274
availability-wind2030,2030,1,625,0.272
availability-wind2030,2030,1,626,0.285
availability-wind2030,2030,1,627,0.286
availability-wind2030,2030,1,628,0.291
availability-wind2030,2030,1,629,0.294
availability-wind2030,2030,1,630,0.299
availability-wind2030,2030,1,631,0.310
availability-wind2030,2030,1,632,0.334
availability-wind2030,2030,1,633,0.370
availability-wind2030,2030,1,634,0.411
availability-wind2030,2030,1,635,0.442
availability-wind2030,2030,1,636,0.408
availability-wind2030,2030,1,637,0.423
availability-wind2030,2030,1,638,0.439
availability-wind2030,2030,1,639,0.461
availability-wind2030,2030,1,640,0.500
availability-wind2030,2030,1,641,0.562
availability-wind2030,2030,1,642,0.624
availability-wind2030,2030,1,643,0.647
availability-wind2030,2030,1,644,0.679
availability-wind2030,2030,1,645,0.727
availability-wind2030,2030,1,646,0.798
availability-wind2030,2030,1,647,0.828
availability-wind2030,2030,1,648,0.859
availability-wind2030,2030,1,649,0.864
availability-wind2030,2030,1,650,0.854
availability-wind2030,2030,1,651,0.846
availability-wind2030,2030,1,652,0.825
availability-wind2030,2030,1,653,0.821
availability-wind2030,2030,1,654,0.802
availability-wind2030,2030,1,655,0.775
availability-wind2030,2030,1,656,0.757
availability-wind2030,2030,1,657,0.744
availability-wind2030,2030,1,658,0.740
availability-wind2030,2030,1,659,0.715
availability-wind2030,2030,1,660,0.700
availability-wind2030,2030,1,661,0.692
availability-wind2030,2030,1,662,0.679
availability-wind2030,2030,1,663,0.660
availability-wind2030,2030,1,664,0.658
availability-wind2030,2030,1,665,0.672
availability-wind2030,2030,1,666,0.682
availability-wind2030,2030,1,667,0.676
availability-wind2030,2030,1,668,0.668
availability-wind2030,2030,1,669,0.648
availability-wind2030,2030,1,670,0.611
availability-wind2030,2030,1,671,0.551
availability-wind2030,2030,1,672,0.530
availability-wind2030,2030,1,673,0.542
availability-wind2030,2030,1,674,0.583
availability-wind2030,2030,1,675,0.614
availability-wind2030,2030,1,676,0.632
availability-wind2030,2030,1,677,0.644
availability-wind2030,2030,1,678,0.649
availability-wind2030,2030,1,679,0.645
availability-wind2030,2030,1,680,0.623
availability-wind2030,2030,1,681,0.589
availability-wind2030,2030,1,682,0.570
availability-wind2030,2030,1,683,0.630
availability-wind2030,2030,1,684,0.636
availability-wind2030,2030,1,685,0.643
availability-wind2030,2030,1,686,0.641
availability-wind2030,2030,1,687,0.635
availability-wind2030,2030,1,688,0.635
availability-wind2030,2030,1,689,0.638
availability-wind2030,2030,1,690,0.643
availability-wind2030,2030,1,691,0.644
availability-wind2030,2030,1,692,0.643
availability-wind2030,2030,1,693,0.644
availability-wind2030,2030,1,694,0.651
availability-wind2030,2030,1,695,0.655
availability-wind2030,2030,1,696,0.657
availability-wind2030,2030,1,697,0.650
availability-wind2030,2030,1,698,0.642
availability-wind2030,2030,1,699,0.641
availability-wind2030,2030,1,700,0.639
availability-wind2030,2030,1,701,0.633
availability-wind2030,2030,1,702,0.621
availability-wind2030,2030,1,703,0.619
availability-wind2030,2030,1,704,0.626
availability-wind2030,2030,1,705,0.639
availability-wind2030,2030,1,706,0.649
availability-wind2030,2030,1,707,0.642
availability-wind2030,2030,1,708,0.621
availability-wind2030,2030,1,709,0.604
availability-wind2030,2030,1,710,0.613
availability-wind2030,2030,1,711,0.617
availability-wind2030,2030,1,712,0.603
availability-wind2030,2030,1,713,0.579
availability-wind2030,2030,1,714,0.548
availability-wind2030,2030,1,715,0.525
availability-wind2030,2030,1,716,0.506
availability-wind2030,2030,1,717,0.496
availability-wind2030,2030,1,718,0.491
availability-wind2030,2030,1,719,0.500
availability-wind2030,2030,1,720,0.504
availability-wind2030,2030,1,721,0.508
availability-wind2030,2030,1,722,0.506
availability-wind2030,2030,1,723,0.502
availability-wind2030,2030,1,724,0.498
availability-wind2030,2030,1,725,0.500
availability-wind2030,2030,1,726,0.511
